50 5000 25000
1254 727 4341 3685
232 898 3685 2512
384 571 2512 1865
1107 813 1865 908
1414 784 908 485
653 1340 485 4186
998 863 4186 1443
1346 556 1443 2002
193 530 2002 1078
1308 1229 1078 1235
641 970 1235 2323
248 131 2323 3405
78 568 3405 5093
1146 186 5093 3142
999 167 3142 416
114 743 416 1200
639 219 1200 2292
1036 587 2292 5523
301 627 5523 844
615 484 844 4551
795 592 4551 1370
186 629 1370 3040
799 769 3040 1122
821 889 1122 3689
588 164 3689 11
1037 750 11 2820
689 1137 2820 4828
1047 277 4828 4157
187 461 4157 75
570 623 75 4555
122 1178 4555 5550
1313 203 5550 812
802 600 812 4119
378 843 4119 1716
980 760 1716 1721
776 647 1721 1656
1032 480 1656 2954
539 454 2954 216
555 384 216 3659
1097 763 3659 1085
407 658 1085 1452
1068 748 1452 3034
1346 841 3034 1542
357 457 1542 3597
774 837 3597 476
905 1109 476 1959
344 335 1959 4798
1285 876 4798 2769
373 634 2769 1782
645 614 1782 4341
831 493 5093 4157
1419 543 3405 5550
788 175 2323 1782
662 607 2323 3685
74 671 1656 1078
613 1021 908 5093
892 1321 3659 1452
1250 477 5523 1782
154 970 908 4186
1133 1042 4551 5550
697 1355 4341 2512
1299 600 812 4119
519 618 476 1716
1053 1165 4186 1721
1128 153 3597 4798
301 193 1782 3405
1066 538 216 485
1231 1108 4186 2820
463 730 5093 2512
156 112 1721 4119
725 167 1721 2954
584 733 844 3040
1104 210 1200 1443
589 485 11 3597
277 487 844 1542
451 943 5523 4186
1389 583 1443 5093
825 627 5093 4551
159 577 2820 1721
164 999 1078 4551
103 337 4828 1443
1395 648 1542 75
492 637 2292 476
1039 627 5093 4551
242 796 4119 3034
278 1101 3405 1235
1284 623 416 2292
934 520 3597 4119
49 780 3685 1078
1391 737 1235 844
250 175 4186 1959
979 1321 3659 1452
17 970 4798 1078
59 111 2323 3689
271 999 4551 1078
1382 889 1122 3689
351 245 4119 3659
464 1076 1443 1716
1384 753 3685 1721
565 944 812 2769
1043 1165 1721 4186
665 993 1959 2769
1326 605 2954 476
1122 1108 2820 4186
772 938 1656 4828
296 669 3659 4341
17 463 1865 4119
141 1225 1721 1452
1109 965 3685 3597
199 91 11 75
327 193 3040 3142
285 587 5523 3405
1340 831 1865 4341
849 663 3685 4157
106 873 1122 3142
538 1340 485 4186
983 809 5093 1078
1286 604 2323 3597
941 473 3597 1959
1052 767 416 1122
386 571 1716 2769
251 679 3142 1200
313 119 3659 1370
461 547 3405 3040
628 649 1452 4798
1084 534 4798 1865
75 767 1443 5523
962 840 4341 75
1328 104 2954 3689
733 713 4551 1452
1183 97 812 2820
841 845 1235 1085
372 1054 3685 5550
846 457 3597 1542
634 697 5523 1716
379 1063 4186 4119
377 243 2512 3034
519 589 1443 1542
945 374 1078 812
1196 1005 1078 2512
1344 647 1721 1656
276 1091 2002 1959
674 629 4341 2002
1393 681 1959 1865
587 400 3142 216
966 769 3040 1122
1215 1016 2820 1200
294 754 1716 2323
1239 415 476 1542
996 921 485 4798
772 809 3034 1721
1049 983 2512 5550
767 833 908 4119
80 820 844 812
120 88 3040 2769
556 126 2323 1370
154 168 3659 1782
105 172 3689 4119
1190 1054 3685 5550
939 917 1085 216
814 405 216 4555
967 772 1370 812
491 684 812 2954
1413 489 1782 2002
591 772 1370 812
1144 1034 1716 1542
74 1241 4551 812
89 408 3689 2002
670 361 3659 1078
928 898 3685 2512
