50 5000 25000
173 745 5683 2086
1126 573 2086 4677
91 897 4677 2815
980 248 2815 2993
116 431 2993 4435
1233 636 4435 3886
302 671 3886 3792
770 1021 3792 249
436 237 249 121
481 1086 121 362
1185 71 362 427
765 180 427 590
284 1043 590 3259
807 151 3259 5663
1136 670 5663 5026
1385 498 5026 2040
286 229 2040 4026
129 879 4026 5572
193 673 5572 2536
1217 1118 2536 1511
1404 735 1511 5468
135 904 5468 1167
702 326 1167 4629
225 515 4629 482
254 656 482 2330
87 555 2330 4262
74 221 4262 5023
284 1113 5023 1867
843 472 1867 3535
950 257 3535 329
367 359 329 4602
888 291 4602 5622
636 889 5622 2058
458 706 2058 4469
428 533 4469 5667
624 285 5667 793
123 542 793 2656
731 1186 2656 811
1394 1121 811 1042
559 587 1042 5529
1212 992 5529 1173
1140 1465 1173 4221
1196 818 4221 419
1368 234 419 1484
379 395 1484 1237
892 105 1237 2498
1186 344 2498 3524
666 412 3524 2315
894 432 2315 2370
1379 1023 2370 5683
74 353 1237 1511
201 1047 1867 4026
357 252 3524 4677
596 847 4221 4677
926 748 2086 329
1049 745 1173 5026
40 890 1484 2536
1237 256 3535 4602
561 726 3524 5468
1327 712 2330 121
617 668 4026 3886
5 122 2815 793
779 836 3886 2058
1191 992 482 1867
543 53 5622 3535
648 1118 2536 1511
580 497 249 5026
83 476 2370 2498
1406 594 5572 1237
515 629 2086 5468
1124 1131 3535 811
1310 1014 1867 1173
1034 1006 419 5683
754 1249 5663 482
303 39 2656 3886
1165 100 1173 5023
1192 214 121 793
28 687 2086 2656
354 675 2330 3792
475 70 5468 249
75 56 3535 2656
668 1135 419 5572
888 985 419 427
964 524 3535 4262
53 1216 419 3259
520 1149 811 3886
408 309 2993 5572
1197 1236 811 2536
1244 581 4026 2498
983 634 419 1511
172 953 5529 2370
870 430 2330 1484
74 653 4435 1042
2 287 793 2536
277 702 4221 5663
4 723 3792 4435
1142 844 2315 427
1263 915 1867 2370
580 699 2498 5572
370 565 1167 427
1021 191 4435 2086
905 713 329 1867
1204 925 1511 793
1385 77 4262 1167
762 876 249 2040
1077 1021 249 482
360 727 590 482
59 963 793 4677
1388 489 3535 5683
251 715 5468 4629
133 359 4602 329
723 869 1484 362
1379 507 2370 4602
1293 856 2498 121
1430 139 3259 5572
146 497 1237 4262
970 469 4469 5529
1302 643 4469 4262
645 970 793 3792
498 18 3886 3535
148 1075 2656 590
1209 1105 1167 121
102 1299 793 362
1221 39 2656 3886
121 914 3259 1167
1399 95 4435 2536
739 282 5468 2993
467 1165 427 5529
407 404 4435 1867
1138 514 5683 4469
22 649 1511 482
961 795 2536 2498
412 282 329 4469
265 856 1167 5683
259 853 5667 1167
218 475 5529 4221
830 998 3259 2315
1169 1030 482 5529
136 507 4602 2536
1274 699 5622 4435
1169 713 2993 3535
690 257 4629 4262
1102 1357 4435 362
553 151 3535 4469
1327 443 4435 5468
841 215 2993 3259
339 1122 2993 4262
1042 283 1484 4677
421 135 3886 4469
888 663 4221 5572
1428 571 1042 1167
516 862 249 2315
488 261 249 2815
613 365 2815 2058
1194 845 2315 5529
1088 581 4026 2498
606 489 3535 5683
1289 1099 811 3524
