50 5000 25000
733 931 4977 4599
1121 1174 4599 3599
426 113 3599 1471
121 1041 1471 4925
745 216 4925 3843
55 297 3843 86
357 390 86 3097
746 555 3097 3600
360 1244 3600 1453
935 554 1453 815
1208 845 815 4621
693 115 4621 3931
189 709 3931 4626
1418 262 4626 4165
958 1021 4165 420
67 247 420 3478
1386 196 3478 3746
1345 643 3746 470
803 86 470 5136
1211 656 5136 2804
405 611 2804 263
413 155 263 3588
1183 1006 3588 3104
1267 1012 3104 1849
953 696 1849 3184
681 113 3184 1861
346 411 1861 5292
526 494 5292 457
710 810 457 2930
291 1165 2930 3213
628 1196 3213 5434
3 1070 5434 1830
1284 1213 1830 1112
926 524 1112 1206
1436 614 1206 1055
589 1012 1055 2007
982 877 2007 4044
226 502 4044 4153
1207 861 4153 5608
1214 267 5608 5497
1161 1073 5497 2020
975 775 2020 4529
467 821 4529 780
1222 186 780 3698
826 669 3698 47
1297 578 47 1200
1290 1361 1200 1477
644 297 1477 845
1203 1328 845 4422
653 953 4422 4977
1066 501 4044 5497
452 987 4977 1477
978 1392 4626 1471
38 510 4925 86
965 554 1453 815
379 681 470 263
25 394 4165 4977
492 224 3843 1861
350 479 2930 1206
1425 963 5608 3213
25 698 1055 3746
1205 579 4626 5136
1290 528 3843 1206
99 569 420 4153
191 394 4165 4977
873 957 2020 2804
1193 326 1830 2007
921 230 3746 780
1347 1342 2020 3588
977 709 4626 3931
894 953 4977 4422
585 179 1861 3931
860 707 1471 2804
860 102 1112 1055
462 1131 3588 4599
1102 76 1849 3698
1438 1050 4422 1861
1191 650 1849 47
16 90 1861 4044
898 288 420 3599
1099 870 1112 1471
501 1082 5136 5434
741 598 3184 1206
1357 722 3746 5136
690 890 1477 4529
1275 881 3213 470
353 1236 1206 3746
959 870 3184 2020
448 514 3600 5136
610 436 4165 1055
1175 679 1206 2804
728 814 1471 5608
602 613 1055 3478
392 446 4153 1112
196 526 5292 1112
334 650 470 4626
1423 1189 1471 4422
336 179 3478 1849
876 526 5292 1112
1253 1081 3184 4422
1133 1276 457 1206
1282 154 1055 4044
1106 1321 1849 4422
1370 67 4626 1206
1438 630 5497 3746
204 598 3600 1830
187 661 4626 1830
524 598 1830 3600
1272 329 1453 780
1085 816 4044 780
778 799 3746 5292
492 148 3599 3478
1211 820 1861 2020
1258 248 3184 4925
455 1274 3746 1200
18 522 1200 3843
950 1007 1830 470
1118 503 5497 3599
894 585 3478 3931
1047 188 3213 4599
1166 986 420 470
882 79 47 2804
1385 832 3097 1477
541 292 263 1849
198 697 5136 2020
1325 802 1206 5608
663 967 1830 3588
595 1122 4165 845
49 1014 3213 815
968 115 3931 4621
694 526 5292 2930
8 1131 3588 4599
1266 406 5434 845
367 161 3599 1849
437 1158 3104 3478
322 674 3600 3843
986 99 4529 2930
1414 329 1453 780
86 431 4165 3184
799 164 3843 4044
190 908 3104 4165
431 1168 4422 4153
1192 1106 4422 3588
366 132 420 1849
1284 283 3843 4977
202 799 3931 3600
651 737 47 3599
465 646 3104 4626
622 963 4422 2930
880 614 1055 1206
126 1185 2007 1453
1165 222 3478 815
1019 48 1477 815
3 136 5434 5292
235 1402 4153 1830
863 478 4165 47
158 477 1200 4529
731 1328 3600 420
171 1021 420 4165
1277 1172 1477 4599
827 1243 5136 5608
569 297 86 3843
769 174 1112 4925
997 326 1830 2007
51 512 3097 1861
1378 511 1112 5497
980 1216 470 5608
1027 1208 86 4422
181 1102 815 4165
1024 218 2020 4626
35 693 3600 1112
540 761 4044 2020
1147 489 5292 1849
295 564 457 86
1103 549 3097 4626
663 1030 5136 845
234 852 2930 3746
723 1286 3213 3184
899 785 1477 1055
1385 370 5434 1861
180 848 3746 4044
291 747 780 1861
1315 798 3184 1471
1263 200 4165 1206
138 837 5608 2020
1057 150 4529 3931
434 417 4153 4529
1051 353 3588 1849
1017 600 3600 3104
373 390 3097 86
142 928 3588 1861
1279 777 3588 5136
1344 202 4626 1200
980 1238 3213 4621
1312 961 1471 4977
566 177 4529 47
250 458 5434 1055
1344 438 4044 3097
300 986 470 420
306 50 1055 3184
564 686 5434 1477
53 475 420 3588
242 784 1849 4044
1093 781 2020 470
1205 428 2020 3104
242 698 1055 3746
307 242 4529 4977
67 125 4529 4044
