50 5000 25000
246 1257 796 444
1399 797 444 1542
202 418 1542 3749
500 829 3749 4311
779 118 4311 2893
50 941 2893 3082
394 472 3082 3221
309 58 3221 477
937 95 477 2013
509 919 2013 4447
454 1054 4447 5481
409 1058 5481 2896
1001 585 2896 3947
1113 766 3947 1755
743 1244 1755 194
1357 317 194 900
1306 1266 900 2398
498 1239 2398 1065
614 314 1065 2897
469 841 2897 705
639 752 705 838
1430 448 838 5397
1092 482 5397 5662
368 67 5662 1240
366 660 1240 1647
883 328 1647 1934
951 956 1934 4637
442 911 4637 3655
184 715 3655 183
191 1471 183 153
1307 542 153 4452
430 1420 4452 3380
150 793 3380 2501
1382 605 2501 4743
930 675 4743 4393
802 1198 4393 2635
1304 465 2635 5017
1196 744 5017 4870
1111 710 4870 1700
801 487 1700 816
265 629 816 1703
1437 146 1703 4597
1083 705 4597 4763
1139 479 4763 510
1110 283 510 1843
386 757 1843 2716
1056 1249 2716 2909
977 719 2909 2908
884 1082 2908 2665
230 1305 2665 796
92 317 1934 194
458 1186 153 1647
772 419 4763 3655
640 341 2398 816
454 724 3221 796
318 545 183 4311
1119 714 194 4393
762 829 3749 4311
1148 393 5397 2893
465 1347 1065 4743
1104 1245 4447 3380
123 582 816 477
1073 751 2635 194
533 108 1934 2909
922 947 183 444
940 527 2501 1700
1223 173 838 4452
1205 986 4637 1843
675 231 3380 3082
247 1343 900 838
1351 965 3655 2893
34 1411 838 3947
802 513 2013 1542
641 1178 2896 153
935 897 4637 5481
106 869 5397 2909
397 775 3380 705
1195 509 1843 2909
261 917 3380 153
1104 638 1700 2908
799 763 3082 183
855 798 5017 1542
849 1060 1755 5481
679 16 477 5662
11 1148 2665 3749
878 697 510 1647
538 277 2501 2013
565 367 1542 3082
637 444 2398 4870
1408 536 4870 183
657 694 3380 4393
1199 549 4743 5397
630 574 444 2635
1335 514 705 2716
840 1109 2897 2716
67 994 153 4597
1396 347 816 4637
162 1143 705 153
322 1249 2716 2909
1111 900 2893 2635
1208 860 3947 705
781 1010 796 4311
919 15 1703 3221
986 923 4763 4637
54 1231 838 2909
498 947 444 183
986 521 2013 5397
346 702 1647 4597
1213 964 796 4870
841 1314 1755 510
462 95 477 2013
618 532 2635 4447
726 986 1700 3749
65 776 183 2909
1012 1239 2398 1065
314 142 444 838
416 542 4452 153
288 984 5017 477
369 1447 1647 4447
1295 445 5481 1240
154 1360 3380 4743
356 1339 1934 838
220 767 4637 4447
119 119 4393 1703
1389 158 705 477
550 86 3749 5481
423 355 2897 1843
963 1127 2893 3380
893 765 4393 4447
279 470 4311 838
106 1089 2897 2893
397 1194 2716 3380
109 212 3380 5481
291 662 1240 2716
231 317 194 900
1425 872 1240 838
50 130 3221 4597
1284 869 5397 2909
1154 559 1843 4393
745 1179 153 1700
643 449 1703 5481
1437 1022 5017 3221
738 485 3082 1703
584 1014 2635 1065
912 277 2013 2501
1296 872 4597 4447
608 1160 5017 2897
578 470 4637 1703
53 501 1542 4870
714 840 4870 1065
977 986 2716 5481
1124 1107 2013 2665
1128 472 3082 3221
1336 963 1755 4763
171 301 705 4311
591 263 510 2909
10 1119 4597 2635
163 426 2501 1755
701 1363 838 1065
821 980 2716 3082
803 1252 2896 1542
752 1105 816 3947
809 262 1934 2897
1085 369 4311 4393
301 659 1542 2893
130 809 4743 1542
557 1149 4637 510
191 347 816 4637
61 271 4763 796
9 366 5017 2716
654 112 2908 2013
1197 142 838 444
197 986 1843 4637
1142 531 4637 4743
170 1016 4311 2635
1072 422 4393 5397
696 367 900 796
836 367 2501 4597
756 1379 900 5017
255 633 2897 1240
46 557 3655 1647
1107 1035 510 2716
114 655 5397 510
948 821 838 5662
497 435 2893 4637
499 1152 1843 1755
1291 983 1700 3380
1315 174 3655 194
863 917 510 2501
379 603 2896 4311
814 428 4637 4393
1403 633 3749 183
17 535 153 444
90 1025 5017 1240
1139 1220 4637 153
713 325 4311 4637
256 928 3082 2398
323 521 2013 1843
979 561 2893 1703
843 589 4870 3749
1110 965 2665 2501
1250 736 4743 2635
763 1027 2398 2897
1288 618 2716 477
958 539 2716 4393
1255 702 1647 4597
244 777 705 796
61 704 2716 2013
1414 594 4597 900
868 1023 838 3082
307 1196 3082 4452
117 1228 816 2897
752 321 2013 4870
600 539 2893 2908
1430 574 444 2635
800 518 3655 477
987 1137 153 1755
1369 649 1703 900
1162 847 477 4447
358 729 1755 4447
537 1070 5397 4763
654 585 2896 3947
1279 1053 838 3749
439 927 3655 4311
302 602 183 816
1292 250 2013 705
1086 1404 4447 796
942 48 2013 1703
645 1305 796 2665
1087 888 2896 900
1263 835 3380 4870
1318 940 153 3749
651 349 3082 1934
397 1049 194 2893
1077 465 5017 2635
377 925 4452 2908
47 187 2501 477
921 1038 2665 2897
422 1269 4743 2897
118 773 4452 2501
209 341 816 2398
982 219 4763 2909
440 52 5481 3082
975 68 4393 5662
1104 880 2896 4447
512 965 153 4763
1312 1277 2398 1934
171 459 3221 3655
1082 759 4870 2896
887 697 705 1843
1256 754 838 4393
104 1019 4447 183
452 154 4311 816
955 660 1240 1647
358 501 1542 4870
401 826 900 705
938 1179 153 1700
1358 652 1542 2716
1420 727 1843 2635
1276 756 2013 2398
1092 605 153 1542
1068 367 4597 2501
1392 81 2908 1240
908 931 1240 444
1266 674 1934 1703
99 254 510 5481
909 362 1240 3749
827 1120 3655 2665
679 225 5662 4870
496 93 3380 2909
1141 602 816 183
674 691 194 5662
1228 355 2893 838
882 618 1065 1843
1375 467 3655 1240
1079 514 2716 705
52 210 194 2909
1153 635 194 1647
1091 931 1240 444
1060 369 4311 4393
1189 618 796 3655
1432 892 444 1843
1285 1056 2635 796
813 514 2716 705
927 1404 4447 796
379 1291 900 2716
386 599 4393 1755
84 995 2013 4452
475 1127 3380 2893
380 646 510 2013
948 603 4311 2896
263 1060 2716 194
706 1056 4447 3749
788 652 2716 1542
1419 364 183 1755
855 946 4870 153
381 1027 2897 2398
1162 1312 2716 1934
890 688 796 2013
371 565 3221 2893
1415 267 2909 5481
971 562 1065 3221
896 782 4452 705
1108 1250 2665 900
793 915 4870 2909
1325 794 4637 5017
1033 1108 1755 3082
1151 1126 900 4311
210 677 796 3082
357 1105 816 3947
29 333 4597 5481
158 952 3221 4452
738 537 816 2896
174 326 4637 2896
463 1363 2398 796
1220 852 5397 183
1257 776 477 4763
831 642 3947 5481
28 1261 510 2896
633 798 5017 1542
404 170 4743 2716
1217 276 1843 3082
712 548 1755 2716
1034 976 1542 1647
1276 691 2013 4763
1417 682 1755 2398
1000 1114 2893 1647
24 815 1542 816
1346 442 2893 4393
1280 629 194 1240
199 843 1700 4447
1085 617 1647 3082
333 1070 4763 5397
409 328 1647 1934
724 754 838 4393
503 630 2897 796
1329 660 2716 3221
969 308 1065 5481
576 701 1542 900
232 1171 796 4743
423 870 444 5662
1049 690 796 2908
701 734 3221 4763
117 1362 4447 1065
1027 663 1703 1647
91 767 4447 4637
1292 1258 477 2635
693 776 183 2909
1270 1189 4452 194
62 1216 3380 2665
357 422 4393 5397
1406 968 5017 5662
539 376 510 900
529 575 4311 5017
1186 535 2908 3655
33 633 194 1703
1189 1219 3655 444
78 454 4447 153
283 400 4311 1755
1370 1395 2716 4763
288 618 2501 2398
126 436 705 816
666 680 1755 2013
1067 148 705 2908
813 122 1065 1934
718 776 2635 2897
339 717 1755 838
417 1308 1647 444
572 1189 4452 194
1285 777 4637 3947
625 692 1700 2716
1437 194 2909 1065
276 170 2716 4743
1074 1044 510 2893
593 1283 4452 1647
834 972 2635 3947
635 1186 4743 3655
347 1049 194 2893
674 776 5397 2635
1400 629 1240 194
838 451 5397 4311
357 550 1700 4311
1011 652 2716 1542
1128 1060 194 2716
906 943 4452 183
129 629 1240 194
1427 1072 1703 2665
1264 1033 1934 1755
62 805 194 4870
697 851 5397 1755
1404 329 4597 4870
1030 767 4447 4637
1142 1230 2665 1934
710 62 5662 1703
929 574 444 5397
1044 1107 2013 2665
205 602 183 816
191 284 3655 1065
1291 605 2501 4743
1325 617 1647 3082
1196 128 4393 2908
343 146 444 4447
1261 13 838 4447
162 733 1843 2501
617 751 194 2635
338 548 1755 2716
160 1186 153 1647
718 352 1843 3749
792 684 3655 4870
800 834 2665 1755
830 574 2635 444
281 1252 2896 1542
693 277 1065 1647
326 964 2665 705
52 613 5397 5017
650 1053 838 3749
1065 868 2897 2501
901 1116 2013 153
109 684 2398 477
65 767 2896 2013
26 1152 1755 1843
1140 679 194 477
351 965 3655 2893
677 694 4637 1647
601 834 2665 1755
1252 324 5397 2398
749 717 1703 796
82 459 796 3380
192 335 705 4597
129 1108 4743 3749
28 1082 2908 2665
1168 752 3947 2013
1414 1022 1703 5017
1081 1314 510 1755
1326 1475 444 900
1223 293 2893 4870
766 1216 2665 3380
150 1245 4447 3380
1333 1184 4763 4311
1416 158 4393 4870
397 1154 3082 5017
1036 699 4311 1542
165 917 2501 510
710 444 2398 4870
798 994 153 4597
998 1060 3082 2665
650 690 796 2908
693 57 2908 477
959 1219 3655 444
1148 652 444 4870
1245 841 153 2909
499 973 2013 444
393 788 2716 2635
894 502 5662 2893
1238 751 194 2635
459 192 5662 4597
1249 655 5397 510
37 389 1542 4597
971 153 2398 838
1361 1025 5017 1240
1210 268 2909 3082
802 376 510 900
920 963 4763 1755
356 783 1700 5017
1374 561 1647 3749
1108 105 3749 3655
783 1171 4743 796
907 1211 3947 2893
320 521 1542 1240
355 316 1843 5481
603 1019 183 4447
279 530 2013 4311
35 752 4763 2908
293 704 1755 5017
1378 891 4597 2896
1336 928 3082 2398
1039 1475 900 444
1136 263 2897 900
880 314 2897 1065
1104 150 1700 1755
74 900 2635 4763
221 154 816 4311
859 515 5481 2908
558 1003 2909 2896
340 606 5397 3082
1059 530 796 2896
422 518 477 3655
1118 630 2897 796
48 727 4393 2897
1064 518 3655 477
1079 913 4743 1843
1304 1270 796 5017
972 872 838 2908
876 917 816 1843
1372 722 2908 2398
826 841 705 2897
346 869 5481 153
716 1148 3749 2665
1147 1250 3947 5017
648 505 4597 194
885 574 2635 444
1022 1460 1934 444
1210 145 705 5662
1358 1244 1755 194
317 826 705 900
907 835 3380 4870
1327 738 477 796
1048 975 1755 3749
1335 697 5662 2897
1372 399 1542 5481
823 584 816 2665
821 986 4637 1843
464 1341 2665 1065
382 892 3947 4393
699 761 2501 444
38 341 2398 816
1237 347 4637 816
846 397 4597 1843
741 682 2398 1755
674 754 838 4637
