50 5000 25000
989 699 5101 5183
507 231 5183 5674
127 1401 5674 4826
1141 79 4826 4363
352 448 4363 1837
126 386 1837 2325
1175 664 2325 5563
794 1073 5563 3128
606 282 3128 4085
1276 1448 4085 44
937 204 44 3954
891 281 3954 1714
372 254 1714 4964
153 209 4964 4303
791 277 4303 1614
1311 596 1614 4702
1379 632 4702 5641
1387 764 5641 2901
966 1439 2901 4349
1361 1413 4349 3017
249 646 3017 404
846 1128 404 3768
850 200 3768 1179
1056 717 1179 4173
642 814 4173 5218
1213 536 5218 5622
1078 344 5622 4582
1420 947 4582 4920
1046 602 4920 2620
213 678 2620 3630
299 1047 3630 1373
467 525 1373 2104
592 122 2104 656
427 929 656 499
40 653 499 3519
945 1274 3519 2494
425 660 2494 2824
1216 803 2824 3383
171 243 3383 3961
903 732 3961 479
924 379 479 3876
980 272 3876 5675
354 349 5675 5444
1168 379 5444 5231
1006 704 5231 4342
1017 297 4342 1498
1039 1065 1498 5172
945 489 5172 1543
965 720 1543 147
566 1101 147 5101
1284 816 147 2325
486 1333 3876 5674
338 512 4303 5444
637 326 1714 5622
936 1459 5674 3954
1361 731 4303 4702
824 692 3017 2620
1051 1013 1498 3630
628 57 5231 5622
25 805 499 4964
983 1300 5674 1714
118 435 5622 1837
331 655 4363 3017
629 807 2104 499
80 317 4085 2494
476 1084 2325 5183
788 1258 4085 1179
768 611 5622 3017
186 525 2824 4303
549 571 4582 5101
84 448 1837 4363
1079 91 3383 2104
301 1108 5622 2494
236 718 4085 2901
1222 350 4349 4920
165 1313 3961 2494
1289 281 4920 4342
941 810 1498 1179
545 602 1498 1714
758 688 3768 479
704 736 4964 5172
357 479 4349 3519
73 299 2620 1714
192 1272 44 404
1222 632 4920 5675
1220 667 1373 499
107 281 3383 4303
21 668 5641 44
443 496 2901 3128
435 1169 2494 2104
22 812 2325 4342
60 563 3630 1614
794 858 2824 1498
1115 1259 1373 3128
1270 628 4342 2824
154 984 3961 3017
868 1136 4349 3128
1320 596 1543 4920
838 1278 5183 1498
792 762 1614 499
547 688 3768 479
1244 784 4582 404
1210 1029 5641 3128
491 945 404 3876
1018 672 1543 3383
878 329 2901 4582
108 480 4173 1543
126 697 5675 5172
433 480 4173 1543
1189 277 4303 1614
530 1244 2494 3383
471 171 2325 1614
1241 861 479 499
35 348 1179 1837
1363 138 4303 4826
561 500 5675 4173
159 575 5675 1543
266 1198 5674 5444
647 707 3961 5641
432 518 4173 2104
1242 875 5444 2901
219 34 4826 5622
303 1085 2494 5641
848 1281 3630 479
1274 171 1614 2325
98 629 3383 5101
98 395 3961 5231
831 354 3876 1498
609 520 3961 3519
13 1187 2494 3954
1403 741 5183 1837
880 708 1837 44
999 1082 5218 147
91 602 4920 2620
87 395 3961 5231
309 1313 1837 499
323 353 5444 5622
109 638 656 5641
1107 1206 1614 3128
868 582 4702 4342
455 904 5183 1543
526 79 4363 4826
1295 1281 2494 4920
996 1007 3519 4085
1360 608 5622 5101
614 348 1179 1837
632 590 3768 5101
389 638 5641 656
1208 1220 5563 5101
855 507 2494 2901
1075 483 4173 4349
358 535 3768 4173
109 530 4920 44
630 114 3519 1498
1202 884 404 4173
219 641 4826 5101
531 776 4349 3768
924 299 1714 5675
407 991 1179 5183
1155 643 3876 2824
175 1208 3128 4964
181 826 5218 3519
741 581 1498 4964
1159 689 5172 5101
214 682 5563 404
744 884 404 4173
178 613 479 5231
280 1208 3954 3128
903 236 5641 1373
530 717 4173 1179
1214 1346 5674 656
401 932 147 4085
187 941 3017 5563
297 79 4826 4363
161 114 656 3954
1265 473 3961 499
961 279 4342 4173
9 778 1179 3519
111 561 1498 4363
906 867 404 1373
241 122 2104 656
632 1197 3128 2104
869 813 4349 4363
933 292 1498 5563
1326 662 5622 479
370 783 4582 1373
1164 110 4363 5622
1231 1379 5622 5674
1368 1220 5563 5101
669 646 3017 404
34 386 2325 1837
1078 629 3630 4964
1102 648 1714 3519
719 1135 5674 1373
962 738 5172 4085
603 1155 4363 2494
132 254 5231 3876
1166 755 3954 4349
1106 616 4303 4920
599 712 3768 147
305 603 4964 5563
1405 225 2824 2901
939 615 5101 1837
219 593 4363 2824
1053 549 4826 1543
88 179 5563 3519
220 603 4363 4920
1386 450 5641 147
924 783 1373 4582
84 749 2325 4920
261 1136 4349 2494
1 763 5563 1179
877 520 4363 5218
326 459 4303 1373
404 217 4342 3519
321 130 3383 5675
551 596 4920 1543
1090 294 3961 1614
120 1050 4582 147
508 469 5231 1837
1326 456 44 4173
702 563 1373 656
147 277 4173 479
221 991 404 4363
46 1106 5563 5183
1000 254 5231 3876
769 726 1614 4349
696 668 5641 44
735 686 4349 479
510 989 5183 499
187 602 1714 1498
220 1209 3128 2620
320 674 3630 4826
1426 887 3630 5218
877 821 3954 499
910 947 4582 4920
430 453 3961 1498
712 685 1543 1614
392 1217 4582 499
138 1480 5674 3383
1346 1165 3519 5101
85 1182 5675 3128
549 333 2104 3961
606 726 1614 4349
710 774 5183 3630
1139 1256 3876 4085
645 533 404 1543
1220 912 1179 147
946 1108 2494 5622
1384 1281 479 3630
34 120 2620 1614
975 663 1614 5563
716 87 656 5675
845 1017 5674 5563
1327 740 1543 44
768 674 3630 4826
168 756 3961 4582
297 1120 1498 5101
155 843 2901 3383
478 420 4582 2620
463 390 1179 44
43 329 2901 4582
1005 809 5218 44
534 921 404 4303
56 281 3383 4303
450 628 2824 4342
1057 1057 4342 2494
739 56 4826 656
338 81 4964 4826
1429 603 5101 2104
1399 620 2901 2325
1338 110 4363 5622
21 1204 147 5183
747 823 499 3768
1372 455 3630 1714
1037 1247 2494 147
753 582 1498 5231
1038 256 3519 147
104 461 5218 4303
336 608 4826 5641
112 525 4303 2824
650 300 3519 3876
301 87 656 5675
965 639 1498 5622
607 1276 4173 3128
426 852 2901 4342
1062 667 1837 5444
1244 678 3630 2620
1140 373 3876 2325
907 577 5563 3954
895 543 4826 5218
1438 1344 3128 44
1141 736 3383 4342
879 82 3768 5231
1060 329 4582 2901
555 523 5172 2494
870 313 4964 5444
311 958 4920 5218
1057 716 5675 2901
438 814 4173 5218
1195 542 3768 1373
535 1303 4085 3961
853 359 3961 2620
857 333 1714 4826
1167 459 4303 1373
275 157 4173 4920
530 362 2620 5444
1245 867 1373 404
